id,customer_id,assigned_to,file_number,docket_date,file_type,file_status,reference_dealer_id,reference_broker_id,created_at,updated_at,id_customer,city,state,pincode,customer_type,created_at_customer,id_finance,file_id,lan_number,loan_amount,no_of_months,emi_amount,bank_id,area,fc_sc_gst_amount,gap_interest,old_loan_amount,irr_percentage,ls_amount,disbursement_amount,rto_hold_amount,total_amount,company_bank_id,id_payment_in,file_id_payment_in,payment_amount,paid_amount,remaining_amount,round_up,payment_mode,payment_date,payment_from,cheque_bank_name,branch_name,cheque_amount,utr_no,company_bank_id_payment_in,id_payment_out,file_id_payment_out,amount,payment_mode_payment_out,payment_date_payment_out,payment_to,payee_dealer_id,payee_broker_id,bank_account_no,ifsc_code,cheque_bank_name_payment_out,branch_name_payment_out,cheque_amount_payment_out,utr_no_payment_out,company_bank_id_payment_out,status,id_advances,dealer_id,broker_id,advance_date,amount_advances,payment_mode_advances,utr_cheque_number,purpose,file_id_advances,recovery_status,amount_recovered,created_at_advances,updated_at_advances,deleted_at,ml_recommendation,customer_tenure_months,risk_score,loan_burden_score,advance_ratio,overdue_severity,recovery_percentage
10,1,205,FN-2024-00001,1685059200.0,New Vehicle,Draft,520,613.0,1684886400.0,1685145600.0,1,Pune,Maharashtra,411001,business,1684800000.0,1,10,LAN603724,800000,48,20606,8,Central Area,8000,1877,0,10.82,811,789312,0,801877,2,1,10,20606,20606,0,0,NEFT,1687478400.0,Bank,Missing,Missing,0,UTRIN8885336,2,1,10,789312,NEFT,1685318400.0,Customer,520,613,5182545496,BANK0007133,Punjab National Bank,Corporate Branch,789312,Missing,2,completed,1,520,613.0,1691280000.0,100000,cheque,ADV350779,Dealer commission advance,10,Fully Recovered,100000,1688680800.0,1688767200.0,0.0,Needs Manual Review,37,2,0.0257575,0.125,0.0,100.0
10,1,205,FN-2024-00001,1685059200.0,New Vehicle,Draft,520,613.0,1684886400.0,1685145600.0,1,Pune,Maharashtra,411001,business,1684800000.0,1,10,LAN603724,800000,48,20606,8,Central Area,8000,1877,0,10.82,811,789312,0,801877,2,2,10,20606,20606,0,0,Cheque,1690070400.0,Insurer,Missing,Missing,0,UTRIN3733931,2,1,10,789312,NEFT,1685318400.0,Customer,520,613,5182545496,BANK0007133,Punjab National Bank,Corporate Branch,789312,Missing,2,completed,1,520,613.0,1691280000.0,100000,cheque,ADV350779,Dealer commission advance,10,Fully Recovered,100000,1688680800.0,1688767200.0,0.0,Needs Manual Review,37,2,0.0257575,0.125,0.0,100.0
20,2,210,FN-2025-00002,1696982400.0,New Vehicle,Cancelled,511,619.0,1697014800.0,1697706000.0,2,Nagpur,Maharashtra,440001,business,1696928400.0,2,20,LAN679896,500000,36,16255,3,Rejected Area,5000,1595,100000,10.52,557,492848,5000,501595,3,3,20,16255,0,16255,0,NEFT,1699574400.0,Customer,Missing,Missing,0,UTRIN5697596,3,2,20,492848,DD,1697414400.0,Dealer,511,619,9991188986,BANK0009933,Missing,Missing,0,UTROUT4963902,3,completed,2,511,619.0,1672617600.0,50000,neft,ADV251413,Insurance premium advance,20,Not Recovered,0,1672700400.0,1672866000.0,0.0,Needs Manual Review,32,5,0.03251,0.1,1.0,0.0
20,2,210,FN-2025-00002,1696982400.0,New Vehicle,Cancelled,511,619.0,1697014800.0,1697706000.0,2,Nagpur,Maharashtra,440001,business,1696928400.0,2,20,LAN679896,500000,36,16255,3,Rejected Area,5000,1595,100000,10.52,557,492848,5000,501595,3,4,20,16255,0,16255,0,Cheque,1702166400.0,Other,Missing,Missing,0,UTRIN2492491,3,2,20,492848,DD,1697414400.0,Dealer,511,619,9991188986,BANK0009933,Missing,Missing,0,UTROUT4963902,3,completed,2,511,619.0,1672617600.0,50000,neft,ADV251413,Insurance premium advance,20,Not Recovered,0,1672700400.0,1672866000.0,0.0,Needs Manual Review,32,5,0.03251,0.1,1.0,0.0
20,2,210,FN-2025-00002,1696982400.0,New Vehicle,Cancelled,511,619.0,1697014800.0,1697706000.0,2,Nagpur,Maharashtra,440001,business,1696928400.0,2,20,LAN679896,500000,36,16255,3,Rejected Area,5000,1595,100000,10.52,557,492848,5000,501595,3,5,20,16255,0,16255,0,DD,1704758400.0,Bank,Missing,Missing,0,UTRIN9668957,3,2,20,492848,DD,1697414400.0,Dealer,511,619,9991188986,BANK0009933,Missing,Missing,0,UTROUT4963902,3,completed,2,511,619.0,1672617600.0,50000,neft,ADV251413,Insurance premium advance,20,Not Recovered,0,1672700400.0,1672866000.0,0.0,Needs Manual Review,32,5,0.03251,0.1,1.0,0.0
20,2,210,FN-2025-00002,1696982400.0,New Vehicle,Cancelled,511,619.0,1697014800.0,1697706000.0,2,Nagpur,Maharashtra,440001,business,1696928400.0,2,20,LAN679896,500000,36,16255,3,Rejected Area,5000,1595,100000,10.52,557,492848,5000,501595,3,6,20,16255,0,16255,0,RTGS,1707350400.0,Other,Punjab National Bank,Main Branch,0,Missing,3,2,20,492848,DD,1697414400.0,Dealer,511,619,9991188986,BANK0009933,Missing,Missing,0,UTROUT4963902,3,completed,2,511,619.0,1672617600.0,50000,neft,ADV251413,Insurance premium advance,20,Not Recovered,0,1672700400.0,1672866000.0,0.0,Needs Manual Review,32,5,0.03251,0.1,1.0,0.0
30,3,209,FN-2026-00003,1700784000.0,Renewal,Under Process,516,611.0,1700715600.0,1701061200.0,3,Ahmedabad,Gujarat,380001,business,1700629200.0,3,30,LAN176116,800000,48,20765,13,Central Area,8000,3562,0,11.23,2963,785475,0,803562,2,7,30,20765,20765,0,0,RTGS,1703289600.0,Customer,State Bank of India,Main Branch,20765,Missing,2,3,30,785475,RTGS,1701129600.0,Other,516,611,8195813399,BANK0009842,State Bank of India,Corporate Branch,785475,Missing,2,completed,3,516,611.0,1691798400.0,80000,neft,ADV728918,Emergency inventory pooling,30,Partially Recovered,35482,1689199200.0,1717279200.0,0.0,Needs Manual Review,31,2,0.02595625,0.1,0.0,44.3525
30,3,209,FN-2026-00003,1700784000.0,Renewal,Under Process,516,611.0,1700715600.0,1701061200.0,3,Ahmedabad,Gujarat,380001,business,1700629200.0,3,30,LAN176116,800000,48,20765,13,Central Area,8000,3562,0,11.23,2963,785475,0,803562,2,8,30,20765,20765,0,0,UPI,1705881600.0,Bank,Missing,Missing,0,UTRIN7534491,2,3,30,785475,RTGS,1701129600.0,Other,516,611,8195813399,BANK0009842,State Bank of India,Corporate Branch,785475,Missing,2,completed,3,516,611.0,1691798400.0,80000,neft,ADV728918,Emergency inventory pooling,30,Partially Recovered,35482,1689199200.0,1717279200.0,0.0,Needs Manual Review,31,2,0.02595625,0.1,0.0,44.3525
30,3,209,FN-2026-00003,1700784000.0,Renewal,Under Process,516,611.0,1700715600.0,1701061200.0,3,Ahmedabad,Gujarat,380001,business,1700629200.0,3,30,LAN176116,800000,48,20765,13,Central Area,8000,3562,0,11.23,2963,785475,0,803562,2,9,30,20765,15909,4856,0,RTGS,1708473600.0,Insurer,Missing,Missing,0,UTRIN7260277,2,3,30,785475,RTGS,1701129600.0,Other,516,611,8195813399,BANK0009842,State Bank of India,Corporate Branch,785475,Missing,2,completed,3,516,611.0,1691798400.0,80000,neft,ADV728918,Emergency inventory pooling,30,Partially Recovered,35482,1689199200.0,1717279200.0,0.0,Needs Manual Review,31,2,0.02595625,0.1,0.23385504454611125,44.3525
30,3,209,FN-2026-00003,1700784000.0,Renewal,Under Process,516,611.0,1700715600.0,1701061200.0,3,Ahmedabad,Gujarat,380001,business,1700629200.0,3,30,LAN176116,800000,48,20765,13,Central Area,8000,3562,0,11.23,2963,785475,0,803562,2,10,30,20765,19740,1025,0,Cash,1711065600.0,Customer,Missing,Missing,0,UTRIN2105804,2,3,30,785475,RTGS,1701129600.0,Other,516,611,8195813399,BANK0009842,State Bank of India,Corporate Branch,785475,Missing,2,completed,3,516,611.0,1691798400.0,80000,neft,ADV728918,Emergency inventory pooling,30,Partially Recovered,35482,1689199200.0,1717279200.0,0.0,Needs Manual Review,31,2,0.02595625,0.1,0.04936190705514086,44.3525
