id,customer_id,created_by_user_id,assigned_to,file_number,docket_date,file_type,file_status,reference_dealer_id,reference_broker_id,remarks,created_at,updated_at,is_deleted,id_customer,full_name,email,mobile_1,mobile_2,address,city,state,pincode,date_of_birth,aadhar_number,pan_number,customer_type,created_by,created_at_customer,id_finance,file_id,lan_number,loan_amount,no_of_months,emi_amount,bank_id,area,fc_sc_gst_amount,gap_interest,old_loan_amount,irr_percentage,ls_amount,disbursement_amount,rto_hold_amount,total_amount,company_bank_id,id_payment_in,file_id_payment_in,payment_amount,paid_amount,remaining_amount,round_up,payment_mode,payment_date,payment_from,cheque_bank_name,branch_name,cheque_no,cheque_date,cheque_amount,utr_no,company_bank_id_payment_in,remarks_payment_in,id_payment_out,file_id_payment_out,amount,payment_mode_payment_out,payment_date_payment_out,payment_to,payee_dealer_id,payee_broker_id,bank_account_no,ifsc_code,cheque_bank_name_payment_out,branch_name_payment_out,cheque_no_payment_out,cheque_date_payment_out,cheque_amount_payment_out,utr_no_payment_out,remarks_payment_out,company_bank_id_payment_out,status,id_advances,dealer_id,broker_id,advance_date,amount_advances,payment_mode_advances,utr_cheque_number,purpose,file_id_advances,recovery_status,amount_recovered,remarks_advances,created_by_advances,created_at_advances,updated_at_advances,is_deleted_advances,deleted_at,ml_recommendation
10,1,101,205,FN-2024-00001,1685059200.0,New Vehicle,Draft,520,613.0,High DTI ratio,1684886400.0,1685145600.0,0,1,Harish Sharma,harish.sharma1@autonidhimock.com,9126855092,8362950628.0,"143, MG Road",Pune,Maharashtra,411001,929750400.0,242479121520,AFNAF9928K,business,110,1684800000.0,1,10,LAN603724,800000,48,20606,8,Central Area,8000,1877,0,10.82,811,789312,0,801877,2,1,10,20606,20606,0,0,NEFT,1687478400.0,Bank,Missing,Missing,539832.0,1675382400.0,0,UTRIN8885336,2,Clear on-time,1,10,789312,NEFT,1685318400.0,Customer,520,613,5182545496,BANK0007133,Punjab National Bank,Corporate Branch,877255.0,1685318400.0,789312,Missing,Full loan disbursement,2,completed,1,520,613.0,1691280000.0,100000,cheque,ADV350779,Dealer commission advance,10,Fully Recovered,100000,Profile performance leads to: Fully Recovered,101,1688680800.0,1688767200.0,0,0.0,Needs Manual Review
10,1,101,205,FN-2024-00001,1685059200.0,New Vehicle,Draft,520,613.0,High DTI ratio,1684886400.0,1685145600.0,0,1,Harish Sharma,harish.sharma1@autonidhimock.com,9126855092,8362950628.0,"143, MG Road",Pune,Maharashtra,411001,929750400.0,242479121520,AFNAF9928K,business,110,1684800000.0,1,10,LAN603724,800000,48,20606,8,Central Area,8000,1877,0,10.82,811,789312,0,801877,2,2,10,20606,20606,0,0,Cheque,1690070400.0,Insurer,Missing,Missing,539832.0,1675382400.0,0,UTRIN3733931,2,Clear on-time,1,10,789312,NEFT,1685318400.0,Customer,520,613,5182545496,BANK0007133,Punjab National Bank,Corporate Branch,877255.0,1685318400.0,789312,Missing,Full loan disbursement,2,completed,1,520,613.0,1691280000.0,100000,cheque,ADV350779,Dealer commission advance,10,Fully Recovered,100000,Profile performance leads to: Fully Recovered,101,1688680800.0,1688767200.0,0,0.0,Needs Manual Review
20,2,103,210,FN-2025-00002,1696982400.0,New Vehicle,Cancelled,511,619.0,Requires physical verification,1697014800.0,1697706000.0,0,2,Dinesh Verma,dinesh.verma2@autonidhimock.com,9849621470,8578100665.0,"160, Link Road",Nagpur,Maharashtra,440001,634176000.0,267425197224,CWPUS9785D,business,102,1696928400.0,2,20,LAN679896,500000,36,16255,3,Rejected Area,5000,1595,100000,10.52,557,492848,5000,501595,3,3,20,16255,0,16255,0,NEFT,1699574400.0,Customer,Missing,Missing,539832.0,1675382400.0,0,UTRIN5697596,3,Delayed/Partial,2,20,492848,DD,1697414400.0,Dealer,511,619,9991188986,BANK0009933,Missing,Missing,622420.0,1673308800.0,0,UTROUT4963902,Full loan disbursement,3,completed,2,511,619.0,1672617600.0,50000,neft,ADV251413,Insurance premium advance,20,Not Recovered,0,Profile performance leads to: Not Recovered,103,1672700400.0,1672866000.0,0,0.0,Needs Manual Review
20,2,103,210,FN-2025-00002,1696982400.0,New Vehicle,Cancelled,511,619.0,Requires physical verification,1697014800.0,1697706000.0,0,2,Dinesh Verma,dinesh.verma2@autonidhimock.com,9849621470,8578100665.0,"160, Link Road",Nagpur,Maharashtra,440001,634176000.0,267425197224,CWPUS9785D,business,102,1696928400.0,2,20,LAN679896,500000,36,16255,3,Rejected Area,5000,1595,100000,10.52,557,492848,5000,501595,3,4,20,16255,0,16255,0,Cheque,1702166400.0,Other,Missing,Missing,539832.0,1675382400.0,0,UTRIN2492491,3,Delayed/Partial,2,20,492848,DD,1697414400.0,Dealer,511,619,9991188986,BANK0009933,Missing,Missing,622420.0,1673308800.0,0,UTROUT4963902,Full loan disbursement,3,completed,2,511,619.0,1672617600.0,50000,neft,ADV251413,Insurance premium advance,20,Not Recovered,0,Profile performance leads to: Not Recovered,103,1672700400.0,1672866000.0,0,0.0,Needs Manual Review
20,2,103,210,FN-2025-00002,1696982400.0,New Vehicle,Cancelled,511,619.0,Requires physical verification,1697014800.0,1697706000.0,0,2,Dinesh Verma,dinesh.verma2@autonidhimock.com,9849621470,8578100665.0,"160, Link Road",Nagpur,Maharashtra,440001,634176000.0,267425197224,CWPUS9785D,business,102,1696928400.0,2,20,LAN679896,500000,36,16255,3,Rejected Area,5000,1595,100000,10.52,557,492848,5000,501595,3,5,20,16255,0,16255,0,DD,1704758400.0,Bank,Missing,Missing,539832.0,1675382400.0,0,UTRIN9668957,3,Delayed/Partial,2,20,492848,DD,1697414400.0,Dealer,511,619,9991188986,BANK0009933,Missing,Missing,622420.0,1673308800.0,0,UTROUT4963902,Full loan disbursement,3,completed,2,511,619.0,1672617600.0,50000,neft,ADV251413,Insurance premium advance,20,Not Recovered,0,Profile performance leads to: Not Recovered,103,1672700400.0,1672866000.0,0,0.0,Needs Manual Review
20,2,103,210,FN-2025-00002,1696982400.0,New Vehicle,Cancelled,511,619.0,Requires physical verification,1697014800.0,1697706000.0,0,2,Dinesh Verma,dinesh.verma2@autonidhimock.com,9849621470,8578100665.0,"160, Link Road",Nagpur,Maharashtra,440001,634176000.0,267425197224,CWPUS9785D,business,102,1696928400.0,2,20,LAN679896,500000,36,16255,3,Rejected Area,5000,1595,100000,10.52,557,492848,5000,501595,3,6,20,16255,0,16255,0,RTGS,1707350400.0,Other,Punjab National Bank,Main Branch,374535.0,1707350400.0,0,Missing,3,Delayed/Partial,2,20,492848,DD,1697414400.0,Dealer,511,619,9991188986,BANK0009933,Missing,Missing,622420.0,1673308800.0,0,UTROUT4963902,Full loan disbursement,3,completed,2,511,619.0,1672617600.0,50000,neft,ADV251413,Insurance premium advance,20,Not Recovered,0,Profile performance leads to: Not Recovered,103,1672700400.0,1672866000.0,0,0.0,Needs Manual Review
30,3,102,209,FN-2026-00003,1700784000.0,Renewal,Under Process,516,611.0,Requires physical verification,1700715600.0,1701061200.0,0,3,Alok Das,alok.das3@autonidhimock.com,9488302652,8856528252.0,"47, Link Road",Ahmedabad,Gujarat,380001,567388800.0,230748142654,JLVEJ5374S,business,110,1700629200.0,3,30,LAN176116,800000,48,20765,13,Central Area,8000,3562,0,11.23,2963,785475,0,803562,2,7,30,20765,20765,0,0,RTGS,1703289600.0,Customer,State Bank of India,Main Branch,242868.0,1703289600.0,20765,Missing,2,Clear on-time,3,30,785475,RTGS,1701129600.0,Other,516,611,8195813399,BANK0009842,State Bank of India,Corporate Branch,719394.0,1701129600.0,785475,Missing,Full loan disbursement,2,completed,3,516,611.0,1691798400.0,80000,neft,ADV728918,Emergency inventory pooling,30,Partially Recovered,35482,Profile performance leads to: Partially Recovered,102,1689199200.0,1717279200.0,0,0.0,Needs Manual Review
30,3,102,209,FN-2026-00003,1700784000.0,Renewal,Under Process,516,611.0,Requires physical verification,1700715600.0,1701061200.0,0,3,Alok Das,alok.das3@autonidhimock.com,9488302652,8856528252.0,"47, Link Road",Ahmedabad,Gujarat,380001,567388800.0,230748142654,JLVEJ5374S,business,110,1700629200.0,3,30,LAN176116,800000,48,20765,13,Central Area,8000,3562,0,11.23,2963,785475,0,803562,2,8,30,20765,20765,0,0,UPI,1705881600.0,Bank,Missing,Missing,539832.0,1675382400.0,0,UTRIN7534491,2,Clear on-time,3,30,785475,RTGS,1701129600.0,Other,516,611,8195813399,BANK0009842,State Bank of India,Corporate Branch,719394.0,1701129600.0,785475,Missing,Full loan disbursement,2,completed,3,516,611.0,1691798400.0,80000,neft,ADV728918,Emergency inventory pooling,30,Partially Recovered,35482,Profile performance leads to: Partially Recovered,102,1689199200.0,1717279200.0,0,0.0,Needs Manual Review
30,3,102,209,FN-2026-00003,1700784000.0,Renewal,Under Process,516,611.0,Requires physical verification,1700715600.0,1701061200.0,0,3,Alok Das,alok.das3@autonidhimock.com,9488302652,8856528252.0,"47, Link Road",Ahmedabad,Gujarat,380001,567388800.0,230748142654,JLVEJ5374S,business,110,1700629200.0,3,30,LAN176116,800000,48,20765,13,Central Area,8000,3562,0,11.23,2963,785475,0,803562,2,9,30,20765,15909,4856,0,RTGS,1708473600.0,Insurer,Missing,Missing,539832.0,1675382400.0,0,UTRIN7260277,2,Delayed/Partial,3,30,785475,RTGS,1701129600.0,Other,516,611,8195813399,BANK0009842,State Bank of India,Corporate Branch,719394.0,1701129600.0,785475,Missing,Full loan disbursement,2,completed,3,516,611.0,1691798400.0,80000,neft,ADV728918,Emergency inventory pooling,30,Partially Recovered,35482,Profile performance leads to: Partially Recovered,102,1689199200.0,1717279200.0,0,0.0,Needs Manual Review
30,3,102,209,FN-2026-00003,1700784000.0,Renewal,Under Process,516,611.0,Requires physical verification,1700715600.0,1701061200.0,0,3,Alok Das,alok.das3@autonidhimock.com,9488302652,8856528252.0,"47, Link Road",Ahmedabad,Gujarat,380001,567388800.0,230748142654,JLVEJ5374S,business,110,1700629200.0,3,30,LAN176116,800000,48,20765,13,Central Area,8000,3562,0,11.23,2963,785475,0,803562,2,10,30,20765,19740,1025,0,Cash,1711065600.0,Customer,Missing,Missing,539832.0,1675382400.0,0,UTRIN2105804,2,Delayed/Partial,3,30,785475,RTGS,1701129600.0,Other,516,611,8195813399,BANK0009842,State Bank of India,Corporate Branch,719394.0,1701129600.0,785475,Missing,Full loan disbursement,2,completed,3,516,611.0,1691798400.0,80000,neft,ADV728918,Emergency inventory pooling,30,Partially Recovered,35482,Profile performance leads to: Partially Recovered,102,1689199200.0,1717279200.0,0,0.0,Needs Manual Review
